projectId,projectTitle,specie,specimens,min_age,max_age,ageUnit
E-MTAB-6677,scRNA-seq of Mus musculus subcutaneous Lin- cells derived from the subcutaneous adipose stromal vascular fraction,MusMusculus,1,8,8,week
E-MTAB-6818,Single-cell RNA-seq of de-differentiated mammary adipocytes during lactation,MusMusculus,1,-1,-1,week
E-MTAB-6879,Single cell RNA-seq of Stmn1+ isthmal cells and Pgc+ chief cells to compare and characterize distinct gastric corpus stem cells at molecular level,MusMusculus,5,-1,9,week
E-MTAB-6945,Single-cell analysis of T-cells from mouse neonate thymuses in a wild type control and a placental specific isoform of Igf2 knock-down (igf2-P0),MusMusculus,7,6,6,day
E-MTAB-6946,Single-cell RNA sequencing of mouse germ cells,MusMusculus,17,5,67,day
E-MTAB-6976,Single-cell RNA sequencing of self-maintaining lamina propria macrophages,MusMusculus,1,35,35,week
E-MTAB-6987,Single-cell RNA sequencing of VE-Cadherin+ cells isolated from mouse E10.5 aorta-gonad-mesonephros region,MusMusculus,1,-1,-1,embryonicDay
E-MTAB-7037,Single-cell RNA-seq of of dermal fibroblasts (supplementary - human fibroblasts stimulation with dsRNA),HomoSapiens,2,30,55,year
E-MTAB-7051,Single-cell RNA-seq of dermal fibroblasts (5 human individuals - IFNB stimulation),HomoSapiens,5,32,57,year
E-MTAB-7052,Single-cell RNA-seq of of human dermal fibroblasts (supplementary - different stimulation conditions of dsRNA),HomoSapiens,3,40,44,year
E-MTAB-7094,Origin and differentiation trajectories of fibroblastic reticular cells in the splenic white pulp - single cell RNAseq dataset 1,MusMusculus,1,6,8,week
E-MTAB-7117,Single-cell transcriptional analysis reveals innate lymphoid cell (ILC)-like cells in zebrafish,DanioRerio,11,4,10,month
E-MTAB-7142,Drop-seq analysis of bleomycin-treated and control mouse lung single-cell suspensions,MusMusculus,9,10,14,week
E-MTAB-7149,Single cell transcriptional profiling of aortic endothelium identifies a hierarchy from endovascular progenitors to differentiated cells,MusMusculus,1,6,8,week
E-MTAB-7159,Single-cell transcriptional analysis reveals ILC-like cells in zebrafish,DanioRerio,4,4,6,month
E-MTAB-7249,Single cell RNA-seq of a human ex vivo ovarian model with matched stromal cells,HomoSapiens,1,81,81,year
E-MTAB-7303,Single cell sequencing of iPSC-dopamine neurons reconstructs disease progression and identifies HDAC4 as a regulator of Parkinson cell phenotypes,HomoSapiens,6,36,81,year
E-MTAB-7311,Single-cell RNA-seq of CD4+ Treg and Tmem cells from different tissues in mouse (Chromium 10x data),MusMusculus,5,6,14,week
E-MTAB-7365,Single-cell RNA-seq of Pdgfra+/Sca1+/Cd31- mouse cardiac cells,MusMusculus,1,8,8,week
E-MTAB-7376,Single-cell RNA-seq of mouse cardiac interstitial cells 3 & 7 days after sham or myocardial infarction injury,MusMusculus,1,8,8,week
E-MTAB-7407,"Human fetal liver, skin and kidney single cell transcriptome data",HomoSapiens,27,4,17,week
E-MTAB-7417,Single cell RNA-seq of mouse skin cells,MusMusculus,2,8,8,week
E-MTAB-7427,Single-cell RNA sequencing reveals a dynamic stromal niche within the evolving tumour microenvironment,MusMusculus,54,6,12,week
E-MTAB-7606,"Single cell RNA seq of influenza tetramer specific CD8+ T cells from baseline, acute and long term memory timepoints",HomoSapiens,1,31,31,year
E-MTAB-7660,Single-cell RNA seq of mouse proximal small intestine at E16.5,MusMusculus,1,-1,-1,embryonicDay
E-MTAB-7678,"scRNA-seq analysis of lung CD64-expressing mononuclear cells, patrolling and classical monocytes from steady-state C57BL/6J mice",MusMusculus,1,10,29,week
E-MTAB-7703,Fibroblastic reticular cells in the spleen - total splenic Stroma cells - single cell RNAseq dataset 2,MusMusculus,1,6,8,week
E-MTAB-8077,Single-Cell Transcriptome Atlas of Murine Endothelial Cells,MusMusculus,11,8,8,week
E-MTAB-8221,scRNA-seq of human fetal lung primary tissues and cell cultures derived from fetal bud tip progenitors under dual SMAD treatment,HomoSapiens,9,-1,21,week
E-MTAB-8410,Single cell sequencing of colorectal tumors and adjacent non-malignant colon tissue,HomoSapiens,27,33,86,year
E-MTAB-8559,Single cell RNA-seq from 10X for a living biobank of ovarian cancer ex vivo models reveals profound mitotic heterogeneity,HomoSapiens,4,46,81,year
E-MTAB-8698,Single cell RNA on hemocytes from wandering larvae of Drosophila melanogaster not infested and infested by Leptopilina boulardi,DrosophilaMelanogaster,2,115,115,hour
E-MTAB-8810,Single cell RNA-Seq of the mouse heart in response to chronic stress,MusMusculus,1,10,10,week
E-MTAB-9221,RNA-seq of RBC depleted whole blood from COVID-19 patients and controls,HomoSapiens,6,21,69,year
abe1a013-af7a-45ed-8c26-f3793c24a1f4,Spatio-temporal immune zonation of the human kidney,HomoSapiens,9,53,72,year
abe1a013-af7a-45ed-8c26-f3793c24a1f4,Spatio-temporal immune zonation of the human kidney,HomoSapiens,6,7,16,week
ae71be1d-ddd8-4feb-9bed-24c3ddb6e1ad,Single-cell RNA-seq analysis of human pancreas from healthy individuals and type 2 diabetes patients,HomoSapiens,10,22,57,year
cc95ff89-2e68-4a08-a234-480eca21ce79,Census of Immune Cells,HomoSapiens,127,0,52,year
f8aa201c-4ff1-45a4-890e-840d63459ca2,Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease,MusMusculus,6,10,12,week
f8aa201c-4ff1-45a4-890e-840d63459ca2,Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease,HomoSapiens,13,29,69,year
